,balance,equity,balance_btc,equity_btc
20580,110110.91464104594,108702.86887312455,9.948865871180166,9.933552853250896
20640,110110.91464104594,108269.65922781442,9.948865871180166,9.928970016545074
20700,106800.89850226892,107618.72187326211,9.948865871180166,9.92202258557059
20760,106800.89850226892,105644.03020620848,9.948865871180166,9.889781467590623
20820,106800.89850226892,105345.62908081338,9.948865871180166,9.882709286268364
20880,104954.878459371,104680.67757078659,9.948865871180166,9.866841629242401
20940,104954.878459371,104124.76075384901,9.948865871180166,9.857302917754074
21000,103258.2177660057,104773.42881910168,9.948865871180166,9.885675327862284
21060,103258.2177660057,102418.50193867633,9.948865871180166,9.824778520877848
21120,103258.2177660057,102003.00302381162,9.948865871180166,9.797288826502962
21180,103258.2177660057,101283.77313926611,9.948865871180166,9.749539459161955
21240,103258.2177660057,101510.15058756247,9.948865871180166,9.76459112940132
21300,103258.2177660057,102875.04557917359,9.948865871180166,9.854903843882452
21360,105677.40633888514,104386.12293976828,10.037214097714099,9.954020704041953
21420,105677.40633888514,105109.00365687162,10.037214097714099,10.030681489382953
21480,105677.40633888514,105262.02080933175,10.037214097714099,10.032349637669267
21540,105677.40633888514,105068.11602397886,10.037214097714099,10.030235015854572
21600,105677.40633888514,104481.87118228119,10.037214097714099,10.023799495200327
21660,105677.40633888514,104840.79890703774,10.037214097714099,10.027747198922413
21720,105677.40633888514,104698.42839582948,10.037214097714099,10.026184189210388
21780,105677.40633888514,105036.06283808233,10.037214097714099,10.029884795053082
21840,105677.40633888514,104751.7748642297,10.037214097714099,10.026770292186116
21900,105677.40633888514,104964.70768926674,10.037214097714099,10.029104471452516
21960,105677.40633888514,105090.88171431527,10.037214097714099,10.030483644341759
22020,105677.40633888514,104556.51093318511,10.037214097714099,10.024622403821404
22080,105677.40633888514,104028.02978338579,10.037214097714099,10.018773376060793
22140,105677.40633888514,104867.18898588543,10.037214097714099,10.028036508681453
22200,105677.40633888514,104929.14337699993,10.037214097714099,10.0287151973598
22260,105677.40633888514,104956.77933939833,10.037214097714099,10.029017710836882
22320,105677.40633888514,104670.22612272618,10.037214097714099,10.02587412490277
22380,105677.40633888514,105412.31967040841,10.037214097714099,10.03398397514532
22440,105677.40633888514,105079.78202449951,10.037214097714099,10.03036243441062
22500,105677.40633888514,104560.81489454226,10.037214097714099,10.024669823595781
22560,105677.40633888514,104860.16673314484,10.037214097714099,10.027959537557912
22620,105677.40633888514,104823.58306160921,10.037214097714099,10.027558395148942
22680,105677.40633888514,105257.83011011558,10.037214097714099,10.032304009107566
22740,105677.40633888514,105209.80696234127,10.037214097714099,10.031780900615608
22800,105677.40633888514,105206.40909811195,10.037214097714099,10.03174387219955
22860,105677.40633888514,105306.87261715867,10.037214097714099,10.032837785141572
22920,105677.40633888514,105789.59586200325,10.037214097714099,10.03806831321125
22980,105677.40633888514,105365.99545474876,10.037214097714099,10.03348068976719
23040,105677.40633888514,105572.81212417301,10.037214097714099,10.035724604710497
23100,105677.40633888514,105425.91112732566,10.037214097714099,10.034131563990476
23160,105677.40633888514,105498.512159692,10.037214097714099,10.034919363738332
23220,105677.40633888514,105437.91691426924,10.037214097714099,10.034261906097212
23280,105677.40633888514,105072.53324747698,10.037214097714099,10.03028326466317
23340,105677.40633888514,104916.79780363342,10.037214097714099,10.028580012544081
23400,105677.40633888514,104927.67096916721,10.037214097714099,10.028699075879475
23460,105677.40633888514,104537.70941778291,10.037214097714099,10.02441521375783
23520,105677.40633888514,104421.95550970428,10.037214097714099,10.023138167332426
23580,105677.40633888514,104710.20765849111,10.037214097714099,10.026313650207793
23640,105677.40633888514,105049.0879842947,10.037214097714099,10.03002713375472
23700,105677.40633888514,105066.87014042813,10.037214097714099,10.030221406566676
